DFD_001	DFD_005	DFD_009	DFD_016	DFD_019	DFD_023	DFD_026	DFD_027	DFD_030	DFD_043	DFD_045	DFD_049	DFD_050	DFD_052	DFD_057	DFD_062	DFD_080	DFD_082	DFD_085	DFD_087	Unassigned
PSME_00062	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PSME_00063	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PSME_00064	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PSME_00065	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PSME_00066	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PSME_00067	15	10	23	2	0	1	0	0	0	27	0	16	0	10	0	1	0	0	0	0	7
PSME_00068	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PSME_00069	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
PSME_00070	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PSME_00071	326	374	1009	200	372	1286	172	164	1319	2284	287	2608	594	211	204	648	288	4	409	2385	517
PSME_00072	2	0	0	1	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0
PSME_00073	362	166	393	58	82	58	0	11	147	661	40	542	53	84	85	34	112	86	17	62	104
PSME_00074	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PSME_00075	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PSME_00076	212	34	720	1	187	30	0	5	203	111	0	28	0	52	8	2	5	0	1	9	55
PSME_00077	1476	388	1013	173	267	181	0	9	0	1310	76	1055	56	294	118	80	154	256	24	228	246
PSME_00078	996	1020	2651	142	1291	81	8	7	431	900	42	792	41	447	268	44	78	0	146	508	343
PSME_00079	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PSME_00080	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PSME_00081	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PSME_00082	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PSME_00083	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PSME_00084	122	90	88	0	50	1	0	0	0	23	22	4	0	32	0	63	0	0	0	0	19
PSME_00085	5917	4557	7215	979	4663	1689	197	144	4521	10150	2885	12795	2854	2627	1454	1532	1784	1251	453	1275	2425
PSME_00086	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PSME_00087	853	29	17	17	0	17	4	24	2	64	3	29	111	3	1	19	0	0	4	17	34
PSME_00088	182	33	190	20	99	25	0	6	343	205	18	335	0	51	14	8	31	0	6	40	63
PSME_00089	988	5101	13427	425	3689	2245	7	8	33	4537	62	13344	1853	667	389	78	398	1737	365	2453	1797
PSME_00090	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PSME_00091	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PSME_00092	95	20	40	12	25	18	0	3	0	69	35	149	0	11	17	0	9	0	3	18	21
PSME_00093	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PSME_00094	77	0	3	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	4	3
PSME_00095	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PSME_00096	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PSME_00097	305	323	1105	104	374	613	7	32	0	620	111	1030	407	199	106	52	148	743	238	420	290
PSME_00098	3065	756	2710	201	919	614	21	32	1276	2549	753	1114	1107	290	209	58	468	0	29	1523	581
PSME_00099	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PSME_00100	19	0	8	0	0	0	0	0	0	6	0	16	0	4	2	1	0	0	2	0	4
PSME_00101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PSME_00102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PSME_00103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PSME_00104	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2
PSME_00105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PSME_00106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PSME_00107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PSME_00108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PSME_00109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PSME_00110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PSME_00111	142	60	33	44	26	148	38	0	2	308	0	934	227	223	12	14	28	0	43	755	118
PSME_00112	780	479	820	80	450	275	1	19	703	940	146	1068	357	199	116	90	67	56	83	280	249
PSME_00113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PSME_00114	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
PSME_00115	198	40	388	20	205	2	1	15	373	104	59	320	0	23	35	255	26	0	0	19	80
PSME_00116	1652	461	927	217	186	94	0	10	1	1084	85	1724	149	228	131	72	232	0	9	241	257
PSME_00117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PSME_00118	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PSME_00119	1087	393	2972	321	389	693	33	47	88	2330	173	4320	817	963	63	238	262	833	553	2382	606
PSME_00120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PSME_00121	2	0	29	2	4	2	0	0	0	2	0	7	0	1	0	0	0	0	0	1	2
PSME_00122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PSME_00123	2	0	0	1	0	0	0	0	0	0	0	0	0	61	0	0	0	0	0	0	4
PSME_00124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PSME_00125	3428	391	977	90	517	73	120	238	5169	908	824	692	0	94	43	218	56	0	21	41	446
PSME_00126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PSME_00127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PSME_00128	0	0	4	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
PSME_00129	0	0	26	0	7	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	1
PSME_00130	35	78	16	0	49	46	0	1	0	0	0	1168	5	168	4	25	447	1	65	15	75
PSME_00131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PSME_00132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PSME_00133	1	7	16	0	0	4	0	0	0	12	0	30	0	0	0	0	1	0	0	3	3
PSME_00134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PSME_00135	7737	4651	14620	456	7548	1967	71	399	9956	13155	1196	1539	381	2740	627	796	294	240	761	2100	2469
PSME_00136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PSME_00137	7300	1024	4636	658	2581	617	110	277	10040	6823	2109	898	473	1761	336	559	111	130	175	662	1411
PSME_00138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PSME_00139	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
PSME_00140	25	0	4	0	0	0	0	0	0	17	0	13	0	0	1	5	3	0	0	0	1
PSME_00141	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
PSME_00142	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PSME_00143	3	0	18	1	0	17	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0
PSME_00144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PSME_00145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PSME_00146	2017	1126	2090	267	1147	485	54	66	130	2465	596	3466	632	605	421	306	356	964	187	681	673
PSME_00147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PSME_00148	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
PSME_00149	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PSME_00150	1616	556	904	344	613	63	12	14	395	1186	172	6386	236	813	793	395	608	183	41	346	528
PSME_00151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PSME_00152	0	0	0	1	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0
PSME_00153	69	72	213	14	48	62	0	3	0	175	4	96	2	7	3	8	9	152	5	17	35
PSME_00154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PSME_00155	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0
PSME_00156	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PSME_00157	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PSME_00158	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PSME_00159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PSME_00160	180	219	1054	38	382	309	0	11	7	941	156	110	85	131	68	76	40	0	12	105	162
PSME_00161	42	29	81	5	11	12	0	0	0	85	25	66	0	8	7	10	15	0	0	21	11
PSME_00162	7109	3638	6430	1447	3321	1172	326	508	7358	6175	2429	16045	642	2742	1586	1475	974	345	704	1612	2178
PSME_00163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PSME_00164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PSME_00165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PSME_00166	0	0	4	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0
PSME_00167	35	22	42	6	7	12	0	0	7	120	0	339	0	5	1	0	0	0	15	38	15
PSME_00168	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PSME_00169	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PSME_00170	51	0	29	1	1	0	0	1	0	99	0	1	0	0	0	0	0	0	0	0	6
PSME_00171	2	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PSME_00172	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PSME_00173	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PSME_00174	7	24	38	1	0	1	0	2	0	3	0	88	0	32	4	0	25	0	3	1	8
