"","DFD_001","DFD_005","DFD_009","DFD_016","DFD_019","DFD_023","DFD_026","DFD_027","DFD_030","DFD_043","DFD_045","DFD_049","DFD_050","DFD_052","DFD_057","DFD_062","DFD_080","DFD_082","DFD_085","DFD_087"
"PSME_23484",6.33314465002258,5.45569302941911,6.01616980748629,6.83032328587383,5.54741780255106,7.64346018839176,7.7599403243654,8.05568254162342,5.69738401295672,5.88460489794551,4.63215136609262,5.48603868565028,8.6444771584372,6.54013279372781,4.97338851428151,5.95582282238511,5.77438580210754,7.75930896882914,7.22302844381082,8.37434309808582
"PSME_00407",-3.32366330176862,-4.22825974179865,-3.74766232315024,-2.85079919983753,-4.22825974179865,3.54639071665641,-4.22825974179865,-1.4731994642887,-4.22825974179865,-1.91136810410268,-4.22825974179865,-3.18457335667619,2.34767612765011,0.0523553804035707,-4.22825974179865,-2.91530639258466,-2.17842308752574,5.34657106627906,2.51329742584576,0.298407032570378
"PSME_24239",6.55958739429988,6.75542209751359,7.3770979572563,6.88650655986441,6.90410440660201,9.41144330588246,8.09951203290046,7.50781631717654,6.08025786396249,6.87690652745168,6.30555044538063,7.23454308701026,8.89108689910701,6.85651746995241,7.00707305773521,6.7454432828035,6.88967200075151,8.71075000383162,8.41593723506477,8.58972381363234
"PSME_21630",4.00419543050577,4.66428911696899,5.13113429707874,4.73177436303674,4.49374422798909,6.44473028912182,7.26936549002092,6.76381907873955,5.01968086636939,4.83691602969541,4.56430817329076,4.93715924657854,6.40674288828119,5.16416216829728,4.81814979481902,4.9254494800606,4.18191094230942,6.46255100220323,6.82819434657369,6.72477059643386
"PSME_24352",3.71191773130319,5.98858300127449,7.05432437352603,4.34670963176495,6.45012829475044,8.26294591620579,7.3765762601549,6.98959782752685,5.43750960995211,4.81530239368242,5.37302459980304,5.04680433449695,7.91491264799373,5.38805630050533,5.25285777095198,5.70732230514805,6.08805915881374,8.19052436020569,8.09471100058949,7.83384140446387
"PSME_19866",7.85535033505042,8.75472372633513,7.34844287844972,7.53730643336414,8.63690924873421,6.26229181333445,8.40406471436786,8.28443661855779,9.48484211719587,7.84870108746343,9.34259962213061,8.45663233259795,6.37813793130869,6.82782444754113,8.62436429680221,9.64601845729002,8.96111965264566,5.87872641596042,5.9710061279929,7.34949967231323
"PSME_35056",4.06961704547713,4.41492278465285,5.57144875658083,4.00748652169185,4.62403264319643,6.30972071438407,6.35535834898214,7.28468347271875,4.18704873351702,4.77201405284673,4.06155547119587,3.85185461737191,7.19450167335409,3.83355543935248,4.19902924179405,4.72832474909048,4.34543096856761,6.35473071150524,5.79551064197135,6.08729924281314
"PSME_49567",6.91396719746394,7.85983496360414,9.23916256855695,7.51998556349994,8.19024789070301,10.8945309220616,9.00087049300088,9.38440845233326,8.52271510570138,7.42335775451949,7.25573292235407,7.35956624041796,8.50466047877722,7.94085923816653,8.15587640090219,7.3014792222486,7.43817051912342,9.27706212354878,9.59075076756632,10.2348337212561
"PSME_27697",6.58042832729235,6.09186208006798,6.94558579541969,6.10921511547527,6.20279948316269,8.8422579950735,7.88020614875334,7.6924819765889,7.39358294261342,5.958561955356,5.97489345317478,6.57631222359537,8.86359074008351,6.14395166629575,6.50553493884825,6.45633269460256,6.40382520235918,9.13773383573944,8.72823196506151,8.70413100283385
"PSME_50917",5.23264816162858,5.78339044980552,5.88277570278989,6.0000537210465,5.49119200584204,8.04390478806819,6.64707540513306,7.05097313415935,4.93600904644226,5.70012213646662,4.79886426628606,6.52577611509141,8.01960192512411,5.35792361780505,6.43857647090966,5.02707090769402,5.83351766048183,8.52240957587374,8.02021564723573,6.75520337266676
"PSME_49911",2.80680435091664,5.30173202889163,7.46143991387636,3.54218927258343,6.80074183873152,9.27551736058145,5.31196277237962,5.79673626934564,6.61690523993817,4.98985619412662,3.65350565980292,3.25943322184014,9.15419470872591,4.97498563090867,4.50565322767624,6.27492281107104,4.75952153541706,9.33130942701025,9.10782132658033,9.13634319106678
"PSME_46064",2.96345546328467,3.62058927644593,4.56666043080939,3.93695406141474,4.79087327940189,7.99105855586578,4.12180684494906,4.34369518982461,4.4965707153884,4.50748535091549,0.328582405089112,4.51685363452633,7.62755631283416,3.99533711746416,4.94864786677231,4.8079885236281,4.86835741066093,8.41931288278688,6.96157234929412,7.56971687062838
"PSME_50858",2.54453093906586,2.95142614475417,3.5124017120219,5.10139936605025,2.59621872477058,7.67187055025263,6.65419605621245,6.64057263906741,4.74624472540217,1.08752782322527,2.81039394055294,4.73985815675781,6.4440214043725,5.46717442012481,3.75309342578414,4.22236020821368,3.12280192984871,6.62941194956085,6.73810284400836,6.82131276890642
"PSME_02273",5.09164083722332,5.77047556754721,4.60655212176715,4.63607802265382,6.13911443460572,2.33799435252969,3.38778580460233,3.51172274029103,6.87572667856259,5.78804699864074,5.91713903137269,5.92076061640119,2.29034841566298,4.29910248958659,6.28045405963764,4.83626381531236,6.68169967898729,4.10938237698075,3.15693525986318,2.0260313333077
"PSME_50890",5.17389555229607,2.58908354670575,1.32194145138212,3.73004065916542,4.04981880748915,-0.933221803904059,2.00736921210339,5.09217920730622,8.20753405052139,5.03379922514461,9.35129240418366,3.71722574575261,-4.22825974179865,-0.320320560483399,5.4267233791709,8.98052823753031,3.36102468307255,-4.22825974179865,-4.22825974179865,0.986516499053856
"PSME_39206",4.03727703889902,4.3434686003611,5.65383876204932,5.63452939840669,5.03366562931662,7.8833644326416,5.54433491010204,6.02460834553723,2.62520049426058,5.92699926622021,3.52456932176958,4.45805754864555,7.81682149442628,4.684016803302,4.26921898899645,4.83225825840674,5.12079845022526,8.04388525184295,7.14259228565848,6.87852738026479
"PSME_34502",8.16590660562836,7.63194934623457,8.36791369773824,8.16390524243688,7.7195750296164,9.82873807591237,9.1866728378089,9.4971229017278,8.51312309813393,8.21411864506822,7.71665575409532,8.10149575301623,10.3893930002594,8.54332097793412,6.95833164170293,8.29470007503948,8.09872014076196,9.30669085526479,9.54247564709763,10.0225755511033
"PSME_39560",4.59902831560606,6.0362992567262,6.05054864108132,4.53358015960008,6.18153364165341,7.97668204223951,6.0227031189152,5.70637091268589,5.3688073917333,5.19938418096136,3.71041200037461,4.85565139058328,8.30095392060784,5.22309662990046,5.58646069084333,5.60068862750558,6.0593467963224,9.38636841565535,8.24982877601142,8.18855461875357
"PSME_18914",4.09635112484131,5.10589981295071,6.99281960187176,3.82857124409161,6.24591318621878,7.95596340116912,4.34942866194802,5.73158264001382,5.12516033794994,4.93496039085117,3.79177207784654,3.75489171452765,8.08890580359615,5.56992664098713,4.66601627485394,5.31519187725476,5.10215134884231,7.09961901961704,7.48548482013659,7.82201449397983
"PSME_30500",7.45161093792237,6.54175204537294,5.79178014949168,6.79862945737794,6.65894673192417,5.27130257957439,6.44019352383934,5.4058462334071,7.29067228409411,7.18987299526865,7.94388627810027,6.77035419579202,4.416177306342,6.33042743815131,6.44869448232618,7.52328441436374,6.534742386046,4.2526639724861,4.58812289585083,6.22287052099686
"PSME_17646",5.44515079268068,5.75809840751081,8.86459870905447,6.25646587412315,7.9718324908157,10.7137307363772,6.85294788051771,7.67309276188948,8.33413887944254,7.85467315071123,4.33472190704644,5.19340896041589,11.6728908401793,5.73568250824931,5.53752732689891,7.69468050618927,7.13871265886887,10.1135606878188,10.4547888111569,10.6045490220085
