target_id,sample19_TCS_C,sample26_TC_T,sample27_TCS_T,sample45_TC_C,sample52_TCS_T,sample62_TCS_C,sample87_TCS_T
TRINITY_DN5676_c0_g1_i2,0,0,10.4085,2020.38,0,55.9093,0
TRINITY_DN5676_c0_g1_i3,0,0,6.46444,0,0,4.45306e-05,0
TRINITY_DN5676_c0_g1_i4,0,0,21.052,0.00422057,0,109.852,0
TRINITY_DN5676_c0_g1_i5,0,0,1.46461,0,0,103.23,0
TRINITY_DN5676_c1_g1_i1,0,3,0,0,0,28,0
TRINITY_DN5661_c0_g1_i1,0,0,0,0,0,36.1446,0
TRINITY_DN5661_c0_g2_i1,0,0,3,0,0,0,0
TRINITY_DN5661_c0_g3_i1,0,0,0,0,0,6.85536,0
TRINITY_DN5661_c1_g1_i1,0,0,0,0,0,0,0
TRINITY_DN5661_c1_g2_i1,0,0,5.4125,0,0,0,0
TRINITY_DN5661_c1_g3_i1,0,36,45.5875,237,0,355,0
TRINITY_DN5607_c0_g1_i1,0,0,0,0,0,17.3463,0
TRINITY_DN5607_c0_g1_i2,0,0,0,0,0,0,0
TRINITY_DN5607_c0_g2_i1,0,0,0,0,0,0,0
TRINITY_DN5607_c0_g3_i1,0,0,0,0,0,0,0
TRINITY_DN5607_c0_g4_i1,0,0,9.96546,0,0,0,0
TRINITY_DN5607_c0_g5_i1,0,11,18.0345,1,0,139,0
TRINITY_DN5607_c0_g6_i1,0,21,5,0,0,28.6537,0
TRINITY_DN5630_c0_g1_i1,0,0,2.95043,0,0,0,0
TRINITY_DN5630_c0_g1_i2,0,0,2.7349,122.304,0,11.9532,0
TRINITY_DN5630_c0_g1_i3,0,50,3.20568,324.909,0,958.737,0
TRINITY_DN5630_c0_g1_i4,0,0,16.4132,0,0,144.251,0
TRINITY_DN5630_c0_g1_i5,0,0,0,0,0,18.9998,0
TRINITY_DN5630_c0_g1_i6,0,0,0,0,0,0,0
TRINITY_DN5630_c0_g1_i7,0,0,15.1476,30.7865,0,26.0587,0
TRINITY_DN5630_c0_g1_i8,0,0,14.5482,0,0,0,0
TRINITY_DN5630_c0_g1_i9,0,0,0,0,0,0,0
TRINITY_DN5664_c0_g1_i1,0,22,6.95304,14,0,417.282,0
TRINITY_DN5664_c0_g1_i2,0,0,10.047,0,0,148.976,0
TRINITY_DN5664_c0_g2_i1,0,0,0,0,0,15.7416,0
TRINITY_DN5668_c0_g1_i1,0,6.00062,41.096,0,0,99.3096,0
TRINITY_DN5668_c0_g1_i2,0,241.19,19.5279,0,0,342.53,0
TRINITY_DN5668_c0_g1_i3,0,1.42838,0.931838,0,0,4.4191,0
TRINITY_DN5668_c0_g1_i4,6,1221.38,1029.44,18754,19,9055.74,4
TRINITY_DN5613_c0_g1_i1,0,0,0,0,0,0,0
TRINITY_DN5613_c0_g1_i2,0,0,0,0,0,18,0
TRINITY_DN5613_c0_g1_i3,0,0,0,0,0,0,0
TRINITY_DN5613_c0_g1_i4,0,0,0,0,0,0,0
TRINITY_DN5613_c0_g1_i5,0,0,0,0,0,0,0
TRINITY_DN5613_c0_g1_i6,0,0,0,0,0,0,0
TRINITY_DN5613_c0_g1_i7,0,0,0,0,0,0,0
TRINITY_DN5613_c0_g1_i8,0,22,0,0,0,0,0
TRINITY_DN5613_c0_g1_i9,0,0,0,0,0,0,0
TRINITY_DN5613_c0_g1_i10,0,0,0,0,0,0,0
TRINITY_DN5613_c0_g1_i11,0,0,0,0,0,0,0
TRINITY_DN5613_c0_g1_i12,0,0,0,0,0,0,0
TRINITY_DN5644_c0_g1_i1,0,0,0,0,0,0.998693,0
TRINITY_DN5644_c0_g1_i2,0,0,0,0,0,0.00130667,0
TRINITY_DN5644_c0_g1_i3,0,0,0,0,0,0,0
TRINITY_DN5644_c0_g1_i4,0,0,0,0,0,0,0
TRINITY_DN5644_c0_g1_i5,0,0,0,0,0,0,0
TRINITY_DN5644_c0_g2_i1,0,0,11.104,107.035,0,82.1324,0
TRINITY_DN5644_c0_g2_i2,0,0,0,0,0,10.8413,0
TRINITY_DN5644_c0_g2_i3,0,0,2.89601,0,0,8.02631,0
TRINITY_DN5614_c0_g1_i1,0,0,0,0,0,0,0
TRINITY_DN5614_c1_g1_i1,0,0,0,0,0,0,0
TRINITY_DN5614_c1_g2_i1,0,0,6.12168,0,0,10.3868,0
TRINITY_DN5614_c1_g2_i2,0,0,2.87832,0,0,19.6132,0
TRINITY_DN5614_c2_g1_i1,0,0,0,0,0,0,0
TRINITY_DN5651_c0_g1_i1,0,0,0,0,0,7.28597e-07,0
TRINITY_DN5651_c0_g1_i2,0,0,0,0,0,0,0
TRINITY_DN5651_c0_g1_i3,0,0,0,0,0,1.88422e-08,0
TRINITY_DN5651_c0_g1_i4,0,0,0,0,0,0,0
TRINITY_DN5651_c0_g1_i5,0,0,0,0,0,1.72473,0
TRINITY_DN5651_c0_g1_i6,0,0,0,0,0,11.2753,0
TRINITY_DN5651_c0_g2_i1,0,0,0,0,0,3,0
TRINITY_DN5669_c0_g1_i1,0,0,4,0,0,9.17694e-06,0
TRINITY_DN5669_c0_g1_i2,0,0,0,0,0,40.5825,0
TRINITY_DN5669_c0_g1_i3,0,0,0,0,0,0,0
TRINITY_DN5669_c0_g1_i4,0,0,0,0,0,0,0
TRINITY_DN5669_c0_g1_i5,0,0,0,0,0,0,0
TRINITY_DN5669_c0_g1_i6,0,0,0,0,0,103.418,0
TRINITY_DN5669_c0_g1_i7,0,0,0,0,0,0,0
