DFD_001	DFD_005	DFD_009	DFD_016	DFD_019	DFD_023	DFD_026	DFD_027	DFD_030	DFD_043	DFD_045	DFD_049	DFD_050	DFD_052	DFD_057	DFD_062	DFD_080	DFD_082	DFD_085	DFD_087	Unassigned
mRNA_387	0	0	0	0	0	0	45	77	0	0	53	0	0	0	0	909	0	0	0	0	37
mRNA_386	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	35	0	0	0	0	2
mRNA_383	0	0	0	0	0	0	0	22	0	0	14	0	0	0	0	478	0	0	0	1	26
mRNA_405	0	0	0	0	0	0	15	109	0	0	50	0	0	0	0	891	0	0	0	0	50
mRNA_417	0	0	0	0	0	0	6	6	0	0	2	0	0	0	0	209	0	0	0	0	8
mRNA_421	0	0	0	0	0	0	33	20	0	0	2	0	0	0	0	338	0	0	0	0	17
mRNA_427	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	12	0	0	0	1	0
mRNA_426	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	10	0	0	0	0	2
mRNA_431	0	0	0	0	0	0	15	4	0	0	0	0	0	0	0	17	0	0	0	0	2
mRNA_456	0	0	0	0	0	0	101	65	0	0	25	0	0	0	0	2164	0	0	0	0	85
mRNA_460	0	0	0	0	0	0	69	36	0	0	5	2	0	0	0	945	0	0	0	0	47
mRNA_468	0	0	0	0	0	0	36	18	0	0	25	0	0	0	0	942	0	0	0	0	44
mRNA_481	0	0	0	0	0	0	4	5	0	0	1	0	0	0	0	92	0	0	0	0	2
mRNA_489	0	0	0	0	0	0	1	25	0	0	0	0	0	0	0	227	0	0	0	0	9
mRNA_484	0	0	0	0	0	0	18	53	0	0	1	0	0	0	1	321	0	0	0	0	5
mRNA_491	0	0	0	0	0	0	182	171	0	0	7	0	0	0	0	458	0	0	0	0	39
mRNA_502	0	0	0	0	0	0	27	13	0	0	5	0	0	0	0	424	0	0	0	0	23
mRNA_505	0	0	0	0	0	0	11	8	0	0	0	0	0	0	0	80	0	0	0	0	2
mRNA_516	0	0	0	0	0	0	71	35	0	0	13	0	0	0	0	422	0	0	0	0	26
mRNA_518	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	31	0	0	0	0	3
mRNA_521	0	0	0	0	0	0	76	68	0	0	5	0	0	0	0	2009	0	0	0	0	75
mRNA_531	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	53	0	0	0	0	3
mRNA_532	0	0	0	0	0	0	50	143	0	0	0	0	0	0	0	906	0	0	0	0	41
mRNA_542	0	0	0	0	0	0	287	163	0	0	49	0	0	0	0	2964	0	0	0	1	158
mRNA_546	0	0	0	0	0	0	27	29	0	0	0	0	0	0	0	332	0	0	0	0	20
mRNA_558	0	0	0	0	0	0	205	303	353	1	24	0	0	0	0	3143	0	0	0	0	158
mRNA_580	0	0	0	0	29	0	170	141	0	0	2130	0	0	0	0	8146	0	0	0	0	429
mRNA_577	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	44	0	0	0	0	3
mRNA_575	0	0	0	0	0	0	0	14	0	0	5	0	0	0	0	428	0	0	0	0	16
mRNA_582	0	0	0	0	0	0	21	57	0	0	5	0	0	0	0	711	0	0	0	0	29
mRNA_587	0	0	0	0	0	0	40	32	0	0	0	0	0	0	0	533	0	0	0	0	20
mRNA_592	0	0	0	0	0	0	253	191	0	0	46	0	0	0	0	339	0	0	0	2	32
mRNA_594	0	0	0	0	0	0	39	21	0	0	0	0	0	0	0	135	0	0	0	0	10
mRNA_598	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	60	0	0	0	0	3
mRNA_599	0	0	0	0	0	0	39	10	0	0	6	0	0	0	0	124	0	0	0	0	7
mRNA_607	0	0	0	0	0	0	47	36	0	0	8	0	0	0	0	293	0	0	0	0	15
mRNA_606	0	0	1	0	0	0	0	27	0	0	5	0	0	0	0	119	0	0	0	0	3
mRNA_610	0	0	0	0	0	0	45	99	0	0	26	0	0	0	0	567	0	0	0	0	19
mRNA_611	0	0	0	0	0	0	19	49	0	0	566	0	0	0	0	4824	0	0	0	1	168
mRNA_615	0	0	0	0	0	0	29	53	0	0	13	0	0	0	0	597	0	0	0	0	27
mRNA_619	0	0	0	0	0	0	12	33	0	0	35	0	0	0	0	4333	0	0	0	0	172
mRNA_620	0	0	0	0	0	0	42	2	0	0	1	0	0	0	0	204	0	0	0	0	13
mRNA_622	0	0	0	0	0	1	2	101	0	0	0	0	0	0	0	183	0	0	0	0	10
mRNA_632	0	0	0	0	0	0	1	38	0	0	26	0	0	0	0	599	0	0	0	0	18
mRNA_639	0	0	0	0	0	0	52	46	0	0	0	0	0	0	0	409	0	0	0	0	20
mRNA_638	0	0	0	0	0	0	0	3	0	0	1	0	0	0	0	75	0	0	0	0	6
mRNA_664	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	94	0	0	0	0	4
mRNA_674	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	115	0	0	0	0	2
mRNA_685	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	4
mRNA_687	0	0	0	0	0	0	27	16	0	0	0	0	0	0	0	597	0	0	0	0	22
mRNA_698	0	0	0	0	0	0	16	18	0	0	3	0	0	0	0	391	0	0	0	0	18
mRNA_704	0	0	0	0	0	0	0	20	0	0	3	0	0	0	0	219	0	0	0	0	7
mRNA_708	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	12	0	0	0	0	0
mRNA_714	0	0	0	0	28	0	7	37	280	0	32	1	0	0	0	475	0	0	0	1	38
mRNA_718	0	0	0	0	0	0	68	61	0	0	2	0	0	0	0	349	0	0	0	0	22
mRNA_722	0	0	0	0	0	0	148	172	0	2	112	1	0	0	0	2008	0	1	0	0	92
mRNA_732	0	0	0	0	6	0	16	14	0	0	157	0	0	0	0	50	0	0	0	0	12
mRNA_738	0	0	0	0	0	0	9	6	0	0	0	0	0	0	0	84	0	0	0	0	3
mRNA_739	0	0	0	0	0	0	29	44	0	0	6	0	0	0	0	164	0	0	0	0	10
mRNA_745	0	0	0	0	0	0	4	35	0	0	1	0	0	0	0	182	0	0	0	0	13
mRNA_748	0	0	0	0	0	0	254	172	0	0	74	0	0	0	0	1980	0	0	0	0	100
mRNA_755	0	0	0	0	0	0	81	131	0	0	94	0	0	0	0	1577	0	0	0	0	79
mRNA_762	0	0	0	0	0	0	54	41	0	0	21	1	0	0	0	1803	0	0	0	0	82
mRNA_764	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mRNA_763	0	0	0	0	0	0	18	49	127	0	1	0	0	0	0	256	0	0	0	0	19
mRNA_768	0	0	0	0	0	0	0	9	0	0	1	0	0	0	0	30	0	0	0	0	4
mRNA_772	0	0	0	0	0	0	19	15	0	0	6	0	0	0	0	157	0	0	0	0	6
mRNA_784	0	0	0	0	0	0	0	5	0	0	7	0	0	0	0	126	0	0	0	0	9
mRNA_788	0	0	0	0	0	0	137	178	0	0	24	0	0	0	0	2580	0	0	0	0	115
mRNA_789	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	558	0	0	0	0	30
mRNA_791	0	0	0	0	0	0	202	61	0	0	3	3	0	0	0	1428	0	0	0	0	58
mRNA_794	0	0	0	0	0	0	103	263	0	0	39	0	0	0	0	1410	0	0	0	0	71
mRNA_796	0	0	0	0	0	0	34	25	0	0	11	2	0	0	0	2044	0	0	0	0	72
mRNA_797	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	1
mRNA_798	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	87	0	0	0	0	7
mRNA_799	0	0	0	0	0	0	0	10	0	0	1	0	0	0	0	116	0	0	0	0	3
mRNA_800	0	0	0	0	0	0	5	32	0	0	2	1	0	0	0	494	0	0	0	0	15
mRNA_808	0	0	0	0	0	0	44	57	0	0	10	0	0	0	0	1003	0	0	0	0	50
mRNA_821	0	0	0	0	0	0	86	89	15	0	190	0	0	0	0	1239	0	0	0	0	63
mRNA_839	0	0	0	0	0	0	71	25	0	0	1	0	0	0	0	401	0	0	0	0	19
mRNA_846	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	281	0	0	0	0	11
mRNA_845	0	0	0	0	0	0	14	44	0	0	6	0	0	0	0	298	0	0	0	0	8
mRNA_850	0	0	0	0	0	0	37	33	52	0	18	0	0	0	0	1184	0	0	0	0	40
mRNA_851	0	0	0	0	0	0	19	58	0	0	7	4	0	0	0	2286	0	0	0	0	95
mRNA_864	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0
mRNA_871	0	0	0	0	0	0	91	148	0	0	11	0	0	0	0	1198	0	0	0	0	54
mRNA_873	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	44	0	0	0	0	2
mRNA_877	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	207	0	0	0	0	5
mRNA_884	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	211	0	0	0	0	10
mRNA_883	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mRNA_886	0	0	0	0	0	0	53	88	0	0	23	1	0	0	0	1088	0	0	0	0	49
mRNA_892	0	0	0	0	0	0	397	729	0	0	81	1	0	0	0	11069	0	1	0	0	518
mRNA_891	0	0	0	0	0	0	371	448	53	0	26	0	0	0	0	3510	0	0	0	3	185
mRNA_890	0	0	0	0	0	0	35	43	0	0	2	0	0	0	0	367	0	0	0	0	17
mRNA_895	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	9	0	0	0	0	0
mRNA_894	0	0	0	0	0	0	24	16	0	0	0	0	0	0	0	80	0	0	0	0	5
mRNA_897	0	0	0	0	0	0	60	67	0	0	2	0	0	0	0	402	0	0	0	0	26
mRNA_905	0	0	0	0	0	0	0	1	0	0	34	0	0	0	0	194	0	0	0	0	8
mRNA_911	0	0	0	0	0	0	26	33	0	0	0	0	0	0	0	447	0	0	0	0	23
mRNA_912	0	0	0	0	0	0	4	4	0	0	12	0	0	0	0	327	0	0	0	0	14
mRNA_915	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	60	0	0	0	0	6
mRNA_928	0	0	0	0	0	0	41	13	0	0	0	0	0	0	0	120	0	0	0	0	5
mRNA_929	0	0	0	0	0	0	58	25	0	0	1	0	0	0	0	299	0	0	0	0	15
mRNA_941	0	0	0	0	0	0	2	4	0	0	0	0	0	0	0	28	0	0	0	0	0
mRNA_942	0	0	0	0	0	0	13	21	0	0	0	0	0	0	0	80	0	0	0	1	3
mRNA_945	0	0	0	0	0	0	18	9	490	0	6	0	0	0	0	1162	0	0	0	0	73
mRNA_946	0	0	0	0	0	0	7	68	159	0	0	3	0	0	0	1002	0	0	0	0	47
mRNA_948	0	0	0	0	0	0	88	25	0	0	0	0	0	0	0	763	0	0	0	0	28
mRNA_955	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	17	0	0	0	0	0
mRNA_957	0	0	0	0	0	0	22	33	0	0	17	0	0	0	0	499	0	0	0	0	19
mRNA_962	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	67	0	0	0	0	4
mRNA_959	0	0	0	0	0	0	5	17	0	0	1	0	0	0	0	297	0	0	0	0	12
mRNA_966	0	0	0	0	0	0	35	11	0	0	0	0	0	0	0	172	0	0	0	0	15
mRNA_965	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	22	0	0	0	0	2
mRNA_969	0	0	0	0	0	0	28	18	0	0	3	2	0	0	0	471	0	0	0	0	20
mRNA_970	0	0	0	0	12	0	612	650	105	0	72	4	0	0	0	6073	0	0	0	1	297
mRNA_971	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	1
mRNA_975	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	65	0	0	0	0	2
mRNA_176	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mRNA_623	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mRNA_882	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0
mRNA_740	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0
mRNA_492	0	0	0	0	0	0	179	321	0	0	8	0	0	0	0	1242	0	0	0	0	64
mRNA_490	0	0	0	0	0	0	4	12	0	0	3	0	0	0	0	113	0	0	0	0	2
mRNA_445	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0
mRNA_650	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	36	0	0	0	0	2
mRNA_29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mRNA_4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mRNA_756	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	3
mRNA_282	0	0	0	0	0	0	5	30	0	0	4	0	0	0	0	306	0	0	0	0	10
mRNA_364	0	0	0	0	0	0	11	19	0	0	12	0	0	0	0	208	0	0	0	0	13
mRNA_754	0	0	0	0	0	0	111	111	97	0	13	0	0	0	0	761	0	0	0	0	43
mRNA_461	0	0	0	0	0	0	75	78	0	0	3	0	0	0	0	797	0	0	0	0	44
mRNA_384	0	0	0	0	0	0	5	8	0	0	5	0	0	0	0	225	0	0	0	0	10
mRNA_470	0	0	0	0	0	0	166	263	0	5	12	1	0	0	0	2657	0	0	0	0	127
mRNA_318	0	0	0	0	0	0	3	3	0	0	2	0	0	0	0	87	0	0	0	0	5
mRNA_876	0	0	0	0	0	0	56	14	0	0	12	0	0	0	0	470	0	0	0	0	25
mRNA_263	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	355	0	0	0	0	14
mRNA_98	0	0	0	0	0	0	60	82	0	4	9	2	0	0	0	1721	0	0	0	0	80
mRNA_150	0	0	0	0	0	0	66	122	0	0	25	0	0	0	0	1184	0	0	0	0	48
mRNA_53	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	31	0	0	0	0	1
mRNA_576	2	0	0	0	0	0	254	103	0	0	26	1	0	0	0	1317	0	0	0	0	69
mRNA_358	0	0	0	0	0	0	116	36	0	0	4	0	0	0	0	275	0	0	0	0	22
mRNA_633	0	0	0	0	0	0	34	16	0	0	7	0	0	0	0	73	0	0	0	0	7
mRNA_72	0	0	0	0	0	0	16	16	0	0	0	0	0	0	0	38	0	0	0	0	3
mRNA_110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0
mRNA_811	0	0	0	0	2	0	33	75	0	0	2	0	0	0	0	910	0	0	0	0	39
mRNA_661	0	0	0	0	0	0	4	15	0	0	0	0	0	0	0	46	0	0	0	0	4
mRNA_630	0	0	0	0	0	0	41	64	0	0	125	0	0	0	0	241	0	0	0	0	15
mRNA_760	0	0	0	0	0	0	80	278	0	0	6	0	0	0	0	1411	0	0	0	0	75
mRNA_836	0	0	0	0	0	0	11	25	0	0	14	0	0	0	0	390	0	0	0	1	19
mRNA_701	0	0	0	0	0	0	158	116	113	0	42	3	0	0	0	3045	0	0	0	1	104
mRNA_246	0	0	0	0	0	0	0	25	0	0	15	0	0	0	0	690	0	0	0	0	35
mRNA_651	0	0	0	0	0	0	28	38	0	0	5	0	0	0	0	461	0	0	0	0	21
mRNA_24	0	0	0	0	0	0	69	83	0	0	69	0	0	0	0	306	0	0	0	0	20
mRNA_595	0	0	0	0	110	0	1210	2584	5927	12	15132	7	0	0	0	50202	28	1	0	5	2779
mRNA_578	0	0	0	0	0	0	130	62	0	0	16	0	0	0	0	715	0	0	0	0	34
mRNA_459	0	0	0	0	0	0	57	170	0	0	27	0	0	0	0	1710	0	0	0	0	62
mRNA_642	0	0	0	0	0	0	1	3	0	0	6	0	0	0	0	153	0	0	0	0	6
mRNA_863	0	0	0	0	0	0	7	4	0	0	0	0	0	0	0	115	0	0	0	0	7
