"","logFC","logCPM","LR","PValue","FDR"
"TRINITY_DN7705_c0_g2_i1",13.9982190762598,14.8407113826227,10.073887329801,0.00150385410510035,0.999126942268417
"TRINITY_DN2660_c3_g1_i2",12.4435063978822,6.9913984011323,9.62368043548146,0.00192084410910432,0.999126942268417
"TRINITY_DN7705_c0_g4_i2",15.3813500320237,12.2711235096873,8.90352928038687,0.00284620019952806,0.999126942268417
"TRINITY_DN7444_c0_g1_i2",-7.86701781802954,5.13592998383872,8.85141091606278,0.00292862418688553,0.999126942268417
"TRINITY_DN8104_c5_g1_i5",19.6638762764214,14.5931462188977,8.71246477822641,0.00316041617150124,0.999126942268417
"TRINITY_DN9175_c10_g9_i1",-8.45213731954585,5.84919705983943,8.29697104056697,0.00397112560689126,0.999126942268417
"TRINITY_DN8104_c6_g7_i1",8.24063567107599,15.8235875080742,8.17492577822711,0.00424734071731929,0.999126942268417
"TRINITY_DN6304_c0_g6_i1",11.2932719663588,8.655654736393,8.08295983771314,0.00446834055653951,0.999126942268417
"TRINITY_DN843_c0_g1_i1",-7.70194399847621,7.46759522397856,7.92189138791881,0.00488401877162175,0.999126942268417
"TRINITY_DN2388_c1_g2_i1",-6.96588658649526,6.08951954669056,7.81828145017261,0.0051720353140116,0.999126942268417
